config,mean_time,mean_num_utterances,mean_utterances_per_turn,time,num_utterances,utterances_per_turn
C1,4.204106668630618,0.0,0.0,4.20410666863 4.20410666863,0 0,0.0 0.0
C10,5.342951051392072,0.0,0.0,5.34295105139 5.34295105139,0 0,0.0 0.0
C11,8.674616515638222,0.0,0.0,8.67461651564 8.67461651564,0 0,0.0 0.0
C12,3.9516202012698924,0.0,0.0,3.95162020127 3.95162020127,0 0,0.0 0.0
C13,4.151264135041413,0.0,0.0,4.15126413504 4.15126413504,0 0,0.0 0.0
C14,4.835152165097506,0.0,0.0,4.8351521651 4.8351521651,0 0,0.0 0.0
C15,2.8824917316418386,0.0,0.0,2.88249173164 2.88249173164,0 0,0.0 0.0
C16,10.384348034879352,0.0,0.0,10.3843480349 10.3843480349,0 0,0.0 0.0
C17,4.887211215498032,0.0,0.0,4.8872112155 4.8872112155,0 0,0.0 0.0
C19,3.082004034519598,0.0,0.0,3.08200403452 3.08200403452,0 0,0.0 0.0
C2,6.880284818011754,0.0,0.0,6.88028481801 6.88028481801,0 0,0.0 0.0
C20,4.823004750410358,0.0,0.0,4.82300475041 4.82300475041,0 0,0.0 0.0
C21,9.536740748088782,0.0,0.0,9.53674074809 9.53674074809,0 0,0.0 0.0
C3,4.281264984608848,0.0,0.0,4.28126498461 4.28126498461,0 0,0.0 0.0
C4,2.798151350020681,0.0,0.0,2.79815135002 2.79815135002,0 0,0.0 0.0
C5,3.3700335860276187,0.0,0.0,3.37003358603 3.37003358603,0 0,0.0 0.0
C6,2.3038813471797064,0.0,0.0,2.30388134718 2.30388134718,0 0,0.0 0.0
C7,4.272028533618828,0.0,0.0,4.27202853362 4.27202853362,0 0,0.0 0.0
C8,6.028285531201476,0.0,0.0,6.0282855312 6.0282855312,0 0,0.0 0.0
C9,4.573795767627587,0.0,0.0,4.57379576763 4.57379576763,0 0,0.0 0.0
